,nova_coluna,Pclass,PassengerId,Sex,Cabin
1,0.8,1,2,F,C85
3,2.4000000000000004,1,4,F,C123
4,1.6,3,5,M,
5,2.4000000000000004,3,6,M,
6,4.800000000000001,1,7,M,E46
7,4.0,3,8,M,
8,4.800000000000001,3,9,F,
9,6.4,2,10,F,
10,6.4,3,11,F,G6
11,8.8,1,12,F,C103
12,8.0,3,13,M,
13,8.8,3,14,M,
15,11.200000000000001,2,16,F,
16,11.200000000000001,3,17,M,
17,12.8,2,18,M,
18,12.8,3,19,F,
20,15.200000000000001,2,21,M,
21,16.0,2,22,M,D56
23,18.400000000000002,1,24,M,A6
24,17.6,3,25,F,
25,18.400000000000002,3,26,F,
30,24.0,1,31,M,
31,24.8,1,32,F,B78
33,25.6,2,34,M,
34,27.200000000000003,1,35,M,
35,28.0,1,36,M,
37,28.0,3,38,M,
38,28.8,3,39,F,
39,29.6,3,40,F,
40,30.400000000000002,3,41,F,
41,32.0,2,42,F,
43,33.6,2,44,F,
45,34.4,3,46,M,
46,35.2,3,47,M,
48,36.800000000000004,3,49,M,
49,37.6,3,50,F,
50,38.400000000000006,3,51,M,
52,41.6,1,53,F,D33
53,41.6,2,54,F,
54,43.2,1,55,M,B30
55,44.0,1,56,M,C52
56,44.0,2,57,F,
58,45.6,2,59,F,
59,45.6,3,60,M,
61,48.800000000000004,1,62,F,B28
62,49.6,1,63,M,C83
63,48.800000000000004,3,64,M,
64,51.2,1,65,M,
65,50.400000000000006,3,66,M,
66,52.0,2,67,F,F33
67,52.0,3,68,M,
69,53.6,3,70,M,
70,55.2,2,71,M,
71,55.2,3,72,F,
72,56.800000000000004,2,73,M,
73,56.800000000000004,3,74,M,
74,57.6,3,75,M,
77,60.0,3,78,M,
78,61.6,2,79,M,
79,61.6,3,80,F,
80,62.400000000000006,3,81,M,
81,63.2,3,82,M,
83,66.4,1,84,M,
84,66.4,2,85,F,
85,66.4,3,86,F,
86,67.2,3,87,M,
87,68.0,3,88,M,
89,69.60000000000001,3,90,M,
90,70.4,3,91,M,
92,73.60000000000001,1,93,M,E31
93,72.8,3,94,M,
95,74.4,3,96,M,
96,76.80000000000001,1,97,M,A5
97,77.60000000000001,1,98,M,D10 D12
98,77.60000000000001,2,99,F,
99,78.4,2,100,M,
102,81.60000000000001,1,103,M,D26
103,80.80000000000001,3,104,M,
109,85.60000000000001,3,110,F,
110,88.0,1,111,M,C110
111,87.2,3,112,F,
112,88.0,3,113,M,
113,88.80000000000001,3,114,F,
114,89.60000000000001,3,115,F,
117,92.80000000000001,2,118,M,
119,93.60000000000001,3,120,F,
120,95.2,2,121,M,
121,95.2,3,122,M,
122,96.80000000000001,2,123,M,
123,97.60000000000001,2,124,F,E101
124,99.2,1,125,M,D26
125,98.4,3,126,M,
128,100.80000000000001,3,129,F,F E69
132,104.0,3,133,F,
133,105.60000000000001,2,134,F,
134,106.4,2,135,M,
135,107.2,2,136,M,
136,108.80000000000001,1,137,F,D47
137,109.60000000000001,1,138,M,C123
138,108.80000000000001,3,139,M,
139,111.2,1,140,M,B86
140,110.4,3,141,F,
142,112.0,3,143,F,
144,114.4,2,145,M,
145,115.2,2,146,M,
147,116.0,3,148,F,
148,117.60000000000001,2,149,M,F2
149,118.4,2,150,M,
150,119.2,2,151,M,
151,120.80000000000001,1,152,F,C2
152,120.0,3,153,M,
153,120.80000000000001,3,154,M,
155,124.0,1,156,M,
157,124.0,3,158,M,
158,124.80000000000001,3,159,M,
159,125.60000000000001,3,160,M,
160,126.4,3,161,M,
161,128.0,2,162,F,
163,128.8,3,164,M,
164,129.6,3,165,M,
165,130.4,3,166,M,
166,132.8,1,167,F,E33
167,132.0,3,168,F,
168,134.4,1,169,M,
169,133.6,3,170,M,
170,136.0,1,171,M,B19
171,135.20000000000002,3,172,M,
172,136.0,3,173,F,
174,139.20000000000002,1,175,M,A7
176,139.20000000000002,3,177,M,
177,141.6,1,178,F,C49
178,141.6,2,179,M,
180,142.4,3,181,F,
181,144.0,2,182,M,
182,144.0,3,183,M,
183,145.6,2,184,M,F4
184,145.6,3,185,F,
185,148.0,1,186,M,A32
186,147.20000000000002,3,187,F,
187,149.6,1,188,M,
188,148.8,3,189,M,
190,151.20000000000002,2,191,F,
191,152.0,2,192,M,
193,153.60000000000002,2,194,M,F2
194,155.20000000000002,1,195,F,B4
195,156.0,1,196,F,B80
197,156.0,3,198,M,
199,158.4,2,200,F,
200,158.4,3,201,M,
201,159.20000000000002,3,202,M,
204,161.60000000000002,3,205,M,
205,162.4,3,206,F,G6
206,163.20000000000002,3,207,M,
207,164.0,3,208,M,
209,167.20000000000002,1,210,M,A31
211,168.0,2,212,F,
213,169.60000000000002,2,214,M,
215,172.0,1,216,F,D36
217,172.8,2,218,M,
218,174.4,1,219,F,D15
219,174.4,2,220,M,
220,174.4,3,221,M,
221,176.0,2,222,M,
222,176.0,3,223,M,
224,179.20000000000002,1,225,M,C93
225,178.4,3,226,M,
226,180.0,2,227,M,
228,181.60000000000002,2,229,M,
229,181.60000000000002,3,230,F,
230,184.0,1,231,F,C83
232,184.8,2,233,M,
233,184.8,3,234,F,
234,186.4,2,235,M,
236,188.0,2,237,M,
237,188.8,2,238,F,
238,189.60000000000002,2,239,M,
239,190.4,2,240,M,
240,190.4,3,241,F,
241,191.20000000000002,3,242,F,
242,192.8,2,243,M,
245,196.0,1,246,M,C78
247,196.8,2,248,F,
248,198.4,1,249,M,D35
249,198.4,2,250,M,
251,199.20000000000002,3,252,F,G6
252,201.60000000000002,1,253,M,C87
253,200.8,3,254,M,
254,201.60000000000002,3,255,F,
255,202.4,3,256,F,
256,204.8,1,257,F,
257,205.60000000000002,1,258,F,B77
259,206.4,2,260,F,
261,207.20000000000002,3,262,M,
262,209.60000000000002,1,263,M,E67
265,211.20000000000002,2,266,M,
266,211.20000000000002,3,267,M,
269,215.20000000000002,1,270,F,C99
270,216.0,1,271,M,
272,216.8,2,273,F,
273,218.4,1,274,M,C118
275,220.0,1,276,F,D7
278,220.8,3,279,M,
279,221.60000000000002,3,280,F,
282,224.0,3,283,M,
283,224.8,3,284,M,
284,227.20000000000002,1,285,M,A19
285,226.4,3,286,M,
286,227.20000000000002,3,287,M,
288,229.60000000000002,2,289,M,
290,232.0,1,291,F,
291,232.8,1,292,F,B49
292,232.8,2,293,M,D
293,232.8,3,294,F,
295,236.0,1,296,M,
298,238.4,1,299,M,C106
301,239.20000000000002,3,302,M,
303,241.60000000000002,2,304,F,E101
304,241.60000000000002,3,305,M,
306,244.8,1,307,F,
307,245.60000000000002,1,308,F,C65
308,245.60000000000002,2,309,M,
309,247.20000000000002,1,310,F,E36
310,248.0,1,311,F,C54
312,248.8,2,313,F,
314,250.4,2,315,M,
316,252.0,2,317,F,
317,252.8,2,318,M,
319,255.20000000000002,1,320,F,E34
322,256.8,2,323,F,
323,257.6,2,324,F,
324,257.6,3,325,M,
325,260.0,1,326,F,C32
327,260.8,2,328,F,D
328,260.8,3,329,F,
329,263.2,1,330,F,B18
330,262.40000000000003,3,331,F,
331,264.8,1,332,M,C124
333,264.8,3,334,M,
334,267.2,1,335,F,
336,268.8,1,337,M,C2
337,269.6,1,338,F,E40
338,268.8,3,339,M,
339,271.2,1,340,M,T
340,271.2,2,341,M,F2
342,272.8,2,343,M,
343,273.6,2,344,M,
344,274.40000000000003,2,345,M,
345,275.2,2,346,F,F33
346,276.0,2,347,F,
347,276.0,3,348,F,
348,276.8,3,349,M,
349,277.6,3,350,M,
350,278.40000000000003,3,351,M,
351,280.8,1,352,M,C128
353,280.8,3,354,M,
355,282.40000000000003,3,356,M,
356,284.8,1,357,F,E33
357,284.8,2,358,F,
360,286.40000000000003,3,361,M,
361,288.0,2,362,M,
362,288.0,3,363,F,
364,289.6,3,365,M,
366,292.8,1,367,F,D37
369,295.2,1,370,F,B35
370,296.0,1,371,M,E50
372,296.0,3,373,M,
373,298.40000000000003,1,374,M,
374,297.6,3,375,F,
375,300.0,1,376,F,
381,303.2,3,382,F,
383,306.40000000000003,1,384,F,
385,307.20000000000005,2,386,M,
386,307.20000000000005,3,387,M,
387,308.8,2,388,F,
389,310.40000000000003,2,390,F,
390,312.0,1,391,M,B96 B98
393,314.40000000000003,1,394,F,D36
394,313.6,3,395,F,G6
397,316.8,2,398,M,
398,317.6,2,399,M,
399,318.40000000000003,2,400,F,
401,319.20000000000005,3,402,M,
402,320.0,3,403,F,
403,320.8,3,404,M,
404,321.6,3,405,F,
405,323.20000000000005,2,406,M,
407,324.8,2,408,M,
409,325.6,3,410,F,
412,329.6,1,413,F,C78
415,330.40000000000003,3,416,F,
416,332.0,2,417,F,
417,332.8,2,418,F,
418,333.6,2,419,M,
419,333.6,3,420,F,
423,336.8,3,424,F,
424,337.6,3,425,M,
426,340.0,2,427,F,
427,340.8,2,428,F,
429,341.6,3,430,M,E10
430,344.0,1,431,M,C52
431,343.20000000000005,3,432,F,
432,344.8,2,433,F,
434,347.20000000000005,1,435,M,E44
435,348.0,1,436,F,B96 B98
436,347.20000000000005,3,437,F,
437,348.8,2,438,F,
439,350.40000000000003,2,440,M,
440,351.20000000000005,2,441,F,
441,351.20000000000005,3,442,M,
443,353.6,2,444,F,
444,353.6,3,445,M,
445,356.0,1,446,M,A34
446,356.0,2,447,F,
447,357.6,1,448,M,
448,356.8,3,449,F,
449,359.20000000000005,1,450,M,C104
450,359.20000000000005,2,451,M,
451,359.20000000000005,3,452,M,
452,361.6,1,453,M,C111
453,362.40000000000003,1,454,M,C92
454,361.6,3,455,M,
456,364.8,1,457,M,E38
457,365.6,1,458,F,D21
458,365.6,2,459,F,
460,368.0,1,461,M,E12
461,367.20000000000005,3,462,M,
462,369.6,1,463,M,E63
463,369.6,2,464,M,
464,369.6,3,465,M,
467,373.6,1,468,M,
469,373.6,3,470,F,
471,375.20000000000005,3,472,M,
472,376.8,2,473,F,
473,377.6,2,474,F,D
474,377.6,3,475,F,
475,380.0,1,476,M,A14
476,380.0,2,477,M,
479,381.6,3,480,F,
480,382.40000000000003,3,481,M,
482,384.0,3,483,M,
483,384.8,3,484,F,
484,387.20000000000005,1,485,M,B49
485,386.40000000000003,3,486,F,
486,388.8,1,487,F,C93
487,389.6,1,488,M,B37
488,388.8,3,489,M,
489,389.6,3,490,M,
490,390.40000000000003,3,491,M,
492,393.6,1,493,M,C30
493,394.40000000000003,1,494,M,
494,393.6,3,495,M,
495,394.40000000000003,3,496,M,
496,396.8,1,497,F,D20
497,396.0,3,498,M,
500,398.40000000000003,3,501,M,
503,400.8,3,504,F,
504,403.20000000000005,1,505,F,B79
505,404.0,1,506,M,C65
506,404.0,2,507,F,
507,405.6,1,508,M,
508,404.8,3,509,M,
509,405.6,3,510,M,
511,407.20000000000005,3,512,M,
512,409.6,1,513,M,E25
513,410.40000000000003,1,514,F,
515,412.0,1,516,M,D46
516,412.0,2,517,F,F33
517,412.0,3,518,M,
518,413.6,2,519,F,
520,416.0,1,521,F,B73
523,418.40000000000003,1,524,F,B18
526,420.0,2,527,F,
529,422.40000000000003,2,530,M,
530,423.20000000000005,2,531,F,
533,424.8,3,534,F,
534,425.6,3,535,F,
535,427.20000000000005,2,536,F,
536,428.8,1,537,M,B38
537,429.6,1,538,F,
538,428.8,3,539,M,
539,431.20000000000005,1,540,F,B39
540,432.0,1,541,F,B22
541,431.20000000000005,3,542,F,
542,432.0,3,543,F,
543,433.6,2,544,M,
544,435.20000000000005,1,545,M,C86
545,436.0,1,546,M,
546,436.0,2,547,F,
547,436.8,2,548,M,
548,436.8,3,549,M,
549,438.40000000000003,2,550,M,
550,440.0,1,551,M,C70
551,440.0,2,552,M,
555,444.0,1,556,M,
556,444.8,1,557,F,A16
558,446.40000000000003,1,559,F,E67
559,445.6,3,560,F,
562,448.8,2,563,M,
563,448.8,3,564,M,
564,449.6,3,565,F,
565,450.40000000000003,3,566,M,
567,452.0,3,568,F,
570,455.20000000000005,2,571,M,
571,456.8,1,572,F,C101
572,457.6,1,573,M,E25
574,457.6,3,575,M,
575,458.40000000000003,3,576,M,
576,460.0,2,577,F,
577,461.6,1,578,F,E44
578,460.8,3,579,F,
580,463.20000000000005,2,581,F,
581,464.8,1,582,F,C68
582,464.8,2,583,M,
583,466.40000000000003,1,584,M,A10
584,465.6,3,585,M,
585,468.0,1,586,F,E68
586,468.0,2,587,M,
587,469.6,1,588,M,B41
588,468.8,3,589,M,
589,469.6,3,590,M,
591,472.8,1,592,F,D20
594,474.40000000000003,2,595,M,
595,474.40000000000003,3,596,M,
596,476.0,2,597,F,
599,479.20000000000005,1,600,M,A20
600,479.20000000000005,2,601,F,
602,481.6,1,603,M,
603,480.8,3,604,M,
604,483.20000000000005,1,605,M,
605,482.40000000000003,3,606,M,
607,485.6,1,608,M,
608,485.6,2,609,F,
610,486.40000000000003,3,611,F,
612,488.0,3,613,F,
614,489.6,3,615,M,
615,491.20000000000005,2,616,F,
616,491.20000000000005,3,617,M,
617,492.0,3,618,F,
618,493.6,2,619,F,F4
619,494.40000000000003,2,620,M,
620,494.40000000000003,3,621,M,
621,496.8,1,622,M,D19
622,496.0,3,623,M,
624,497.6,3,625,M,
625,500.0,1,626,M,D50
626,500.0,2,627,M,
627,501.6,1,628,F,D9
630,504.0,1,631,M,A23
632,505.6,1,633,M,B50
634,505.6,3,635,F,
635,507.20000000000005,2,636,F,
637,508.8,2,638,M,
638,508.8,3,639,F,
639,509.6,3,640,M,
641,512.8000000000001,1,642,F,B35
642,512.0,3,643,F,
643,512.8000000000001,3,644,M,
644,513.6,3,645,F,
645,516.0,1,646,M,D33
647,517.6,1,648,M,A26
651,520.0,2,652,F,
652,520.0,3,653,M,
655,523.2,2,656,M,
657,524.0,3,658,F,
658,525.6,2,659,M,
659,527.2,1,660,M,D48
660,528.0,1,661,M,
662,529.6,1,663,M,E58
665,531.2,2,666,M,
666,532.0,2,667,M,
668,532.8000000000001,3,669,M,
669,535.2,1,670,F,C126
670,535.2,2,671,F,
671,536.8000000000001,1,672,M,B71
672,536.8000000000001,2,673,M,
673,537.6,2,674,M,
676,539.2,3,677,M,
677,540.0,3,678,F,
678,540.8000000000001,3,679,F,
680,542.4,3,681,F,
681,544.8000000000001,1,682,M,D49
682,544.0,3,683,M,
683,544.8000000000001,3,684,M,
684,546.4,2,685,M,
685,547.2,2,686,M,
686,547.2,3,687,M,
687,548.0,3,688,M,
690,552.0,1,691,M,B20
691,551.2,3,692,F,
692,552.0,3,693,M,
694,555.2,1,695,M,
695,555.2,2,696,M,
696,555.2,3,697,M,
698,558.4,1,699,M,C68
701,560.8000000000001,1,702,M,E24
702,560.0,3,703,F,
705,563.2,2,706,M,
706,564.0,2,707,F,
707,565.6,1,708,M,E24
709,565.6,3,710,M,
710,568.0,1,711,F,C90
711,568.8000000000001,1,712,M,C124
712,569.6,1,713,M,C126
713,568.8000000000001,3,714,M,
714,570.4,2,715,M,
717,572.8000000000001,2,718,F,E101
718,572.8000000000001,3,719,M,
720,575.2,2,721,F,
722,576.8000000000001,2,723,M,
723,577.6,2,724,M,
724,579.2,1,725,M,E8
725,578.4,3,726,M,
726,580.0,2,727,F,
728,581.6,2,729,M,
731,583.2,3,732,M,
733,585.6,2,734,M,
734,586.4,2,735,M,
735,586.4,3,736,M,
736,587.2,3,737,F,
740,592.0,1,741,M,D45
741,592.8000000000001,1,742,M,C46
743,592.8000000000001,3,744,M,
745,596.0,1,746,M,B22
746,595.2,3,747,M,
747,596.8000000000001,2,748,F,
748,598.4,1,749,M,D30
750,599.2,2,751,F,
751,599.2,3,752,M,E121
752,600.0,3,753,M,
754,602.4,2,755,F,
755,603.2,2,756,M,
757,604.8000000000001,2,758,M,
758,604.8000000000001,3,759,M,
759,607.2,1,760,F,B77
760,606.4,3,761,M,
763,610.4,1,764,F,B96 B98
765,612.0,1,766,F,D11
766,612.8000000000001,1,767,M,
768,612.8000000000001,3,769,M,
769,613.6,3,770,M,
770,614.4000000000001,3,771,M,
772,616.8000000000001,2,773,F,E77
774,618.4000000000001,2,775,F,
777,620.0,3,778,F,
781,624.8000000000001,1,782,F,B20
782,625.6,1,783,M,D6
783,624.8000000000001,3,784,M,
787,628.0,3,788,M,
788,628.8000000000001,3,789,M,
789,631.2,1,790,M,B82 B84
791,632.0,2,792,M,
792,632.0,3,793,F,
793,634.4000000000001,1,794,M,
795,635.2,2,796,M,
796,636.8000000000001,1,797,F,D17
797,636.0,3,798,F,
799,637.6,3,800,F,
800,639.2,2,801,M,
801,640.0,2,802,F,
802,641.6,1,803,M,B96 B98
803,640.8000000000001,3,804,M,
808,645.6,2,809,M,
809,647.2,1,810,F,E8
811,647.2,3,812,M,
812,648.8000000000001,2,813,M,
813,648.8000000000001,3,814,F,
814,649.6,3,815,M,
817,652.8000000000001,2,818,M,
819,653.6,3,820,M,
820,656.0,1,821,F,B69
821,655.2,3,822,M,
823,656.8000000000001,3,824,F,E121
824,657.6,3,825,M,
826,659.2,3,827,M,
827,660.8000000000001,2,828,M,
829,663.2,1,830,F,B28
830,662.4000000000001,3,831,F,
831,664.0,2,832,M,
834,665.6,3,835,M,
835,668.0,1,836,F,E49
836,667.2,3,837,M,
837,668.0,3,838,M,
838,668.8000000000001,3,839,M,
839,671.2,1,840,M,C47
841,672.0,2,842,M,
842,673.6,1,843,F,
844,673.6,3,845,M,
846,675.2,3,847,M,
848,677.6,2,849,M,
849,679.2,1,850,F,C92
850,678.4000000000001,3,851,M,
852,680.0,3,853,F,
853,682.4000000000001,1,854,F,D28
854,682.4000000000001,2,855,F,
855,682.4000000000001,3,856,F,
857,685.6,1,858,M,E17
858,684.8000000000001,3,859,F,
860,686.4000000000001,3,861,M,
861,688.0,2,862,M,
862,689.6,1,863,F,D17
863,688.8000000000001,3,864,F,
864,690.4000000000001,2,865,M,
865,691.2,2,866,F,
866,692.0,2,867,F,
867,693.6,1,868,M,A24
868,692.8000000000001,3,869,M,
869,693.6,3,870,M,
871,696.8000000000001,1,872,F,D35
873,696.8000000000001,3,874,M,
874,698.4000000000001,2,875,F,
876,699.2,3,877,M,
879,703.2,1,880,F,C50
880,703.2,2,881,F,
882,704.0,3,883,F,
883,705.6,2,884,M,
885,706.4000000000001,3,886,F,
886,708.0,2,887,M,
887,709.6,1,888,F,B42
888,708.8000000000001,3,889,F,
889,711.2,1,890,M,C148
